Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Africa Eastern and Southern;AFE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115.2942303;122.1881197;121.0055455;132.8264363;141.5477827;149.5927607;166.3944289;179.3923686;186.5206374;195.5348635;197.9493726;203.9775123;201.4570073;213.7916533;210.2598324;213.9391398;222.3476519;213.3925459;210.9121681;216.0932377;209.9857443;219.0491823;;;
Afghanistan;AFG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.39655236;86.26033579;93.95296599;105.8867601;118.306464;112.2676674;137.7035084;153.5432387;148.7611035;147.3391694;155.3830259;178.0790192;202.2615553;215.7252333;239.1887475;264.5439889;299.7874915;321.4990806;322.4993097;363.611185;;;
Africa Western and Central;AFW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76.29739419;79.85921976;78.05501608;116.3802695;117.8111651;122.1104499;123.3848292;122.9745896;126.3906198;136.2578807;127.6511662;134.1653633;135.8790325;144.9972828;151.9859532;157.6435062;153.3897002;155.6145709;143.5689321;147.946417;161.1191082;184.2674979;;;
Angola;AGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62.35549658;151.0352836;125.3979539;135.6299907;166.8257847;137.3182932;143.4324986;179.3627711;218.8505483;247.5763201;177.5153409;177.2587236;177.0294781;208.8951587;197.7254442;189.5478609;190.6570225;201.4364003;182.3266889;173.1436925;200.1307093;198.5463085;;;
Albania;ALB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;222.8174656;247.2743089;257.9195945;290.4869677;316.1663354;333.7111566;368.4268293;430.7864007;452.6283966;512.9493981;600.4291752;632.131473;649.9892844;666.0176549;725.7376495;753.1800705;811.4220403;838.4169877;896.7913541;981.8790244;1044.568617;1131.669115;;;
Andorra;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1913.580589;2017.877774;2163.197797;2094.246149;2108.863981;2343.212871;2304.464595;2491.605236;2888.436584;3067.251465;3878.842268;3910.482216;3449.116417;3445.058283;3528.650997;3705.346975;3577.453276;3714.865213;4044.916874;4098.704637;4631.538485;4907.773484;;;
Arab World;ARB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;387.5520133;426.8289534;436.5568705;430.1174797;447.7205611;445.7764312;472.1955119;505.9624846;510.6445729;613.8329896;576.3108316;596.6065498;647.4369763;724.2279436;766.9731221;772.078787;852.0429535;860.8881039;815.8557873;834.473391;898.6429324;888.4634815;;;
United Arab Emirates;ARE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2222.565099;2296.333686;2484.181082;2557.24201;2556.138675;2429.990775;2409.732586;2350.391428;2370.879027;2734.094005;2537.151877;2591.778205;2497.088613;2657.416484;2786.923365;2416.065548;2682.407365;2853.381021;3002.587776;3281.382326;4157.383096;4065.614004;;;
Argentina;ARG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1060.861351;1044.539234;825.8561419;845.9592307;879.1764894;1028.49653;1138.15885;1293.519131;1418.628664;1536.573388;1693.282;1808.443055;1920.127825;1960.465834;1896.806034;2050.680833;1997.891098;2413.860064;2401.319013;2346.186688;2187.378138;2323.078206;;;
